10.dat,VCG Morphology calculation failed
100.dat,VCG Morphology calculation failed
11.dat,VCG Morphology calculation failed
113.dat,VCG Morphology calculation failed
115.dat,VCG Morphology calculation failed
118.dat,VCG Morphology calculation failed
128.dat,VCG Morphology calculation failed
129.dat,VCG Morphology calculation failed
132.dat,VCG Morphology calculation failed
141.dat,VCG Morphology calculation failed
142.dat,VCG Morphology calculation failed
146.dat,VCG Morphology calculation failed
148.dat,VCG Morphology calculation failed
150.dat,VCG Morphology calculation failed
153.dat,VCG Morphology calculation failed
155.dat,VCG Morphology calculation failed
156.dat,VCG Morphology calculation failed
16.dat,VCG Morphology calculation failed
160.dat,VCG Morphology calculation failed
164.dat,VCG Morphology calculation failed
166.dat,VCG Morphology calculation failed
168.dat,VCG Morphology calculation failed
169.dat,VCG Morphology calculation failed
170.dat,VCG Morphology calculation failed
172.dat,VCG Morphology calculation failed
174.dat,VCG Morphology calculation failed
175.dat,VCG Morphology calculation failed
181.dat,VCG Morphology calculation failed
184.dat,VCG Morphology calculation failed
187.dat,VCG Morphology calculation failed
189.dat,VCG Morphology calculation failed
19.dat,VCG Morphology calculation failed
191.dat,VCG Morphology calculation failed
192.dat,VCG Morphology calculation failed
193.dat,VCG Morphology calculation failed
194.dat,VCG Morphology calculation failed
198.dat,VCG Morphology calculation failed
2.dat,VCG Morphology calculation failed
25.dat,VCG Morphology calculation failed
27.dat,VCG Morphology calculation failed
30.dat,VCG Morphology calculation failed
36.dat,VCG Morphology calculation failed
4.dat,VCG Morphology calculation failed
40.dat,VCG Morphology calculation failed
41.dat,VCG Morphology calculation failed
42.dat,VCG Morphology calculation failed
43.dat,VCG Morphology calculation failed
47.dat,VCG Morphology calculation failed
48.dat,VCG Morphology calculation failed
49.dat,VCG Morphology calculation failed
5.dat,VCG Morphology calculation failed
50.dat,VCG Morphology calculation failed
53.dat,VCG Morphology calculation failed
54.dat,VCG Morphology calculation failed
59.dat,VCG Morphology calculation failed
6.dat,VCG Morphology calculation failed
63.dat,VCG Morphology calculation failed
64.dat,VCG Morphology calculation failed
66.dat,VCG Morphology calculation failed
68.dat,VCG Morphology calculation failed
72.dat,VCG Morphology calculation failed
75.dat,VCG Morphology calculation failed
78.dat,VCG Morphology calculation failed
79.dat,VCG Morphology calculation failed
80.dat,VCG Morphology calculation failed
82.dat,VCG Morphology calculation failed
84.dat,VCG Morphology calculation failed
89.dat,VCG Morphology calculation failed
