104.dat,VCG Morphology calculation failed
109.dat,VCG Morphology calculation failed
125.dat,VCG Morphology calculation failed
20.dat,VCG Morphology calculation failed
28.dat,VCG Morphology calculation failed
3.dat,VCG Morphology calculation failed
31.dat,VCG Morphology calculation failed
33.dat,VCG Morphology calculation failed
35.dat,VCG Morphology calculation failed
45.dat,VCG Morphology calculation failed
55.dat,VCG Morphology calculation failed
57.dat,VCG Morphology calculation failed
72.dat,VCG Morphology calculation failed
74.dat,VCG Morphology calculation failed
75.dat,VCG Morphology calculation failed
